User,month,year,parameter,value,NormValue,PlotValue,alpha,UserNorm,UserNormValue,MoYear,dx,dy
Colorado River Indian Reservation,4,2012,Consumptive Use,34832,0.647218402764874,0.647218402764874,0.5,0.647218402764874,0.647218402764874,2012-04-01,1172486.567,25877855.74
Fort Mojave Indian Reservation,4,2012,Consumptive Use,2865,0.351663188903891,0.351663188903891,0.5,0.351663188903891,0.351663188903891,2012-04-01,1424007.529,26266424.52
Imperial Irrigation District,4,2012,Consumptive Use,350030,1,1,0.5,1,1,2012-04-01,699103.7691,25988886.65
Lake Havasu City,4,2012,Consumptive Use,622,0.74849578820698,0.74849578820698,0.5,0.74849578820698,0.74849578820698,2012-04-01,1424007.529,26682731.33
Met. Water District of So. Cal.,4,2012,Consumptive Use,NA,NA,0.711737492312534,0.5,NA,0.711737492312534,2012-04-01,1424007.529,26405193.45
Mohave Valley I.D.D.,4,2012,Consumptive Use,1048,0.389880952380952,0.389880952380952,0.5,0.389880952380952,0.389880952380952,2012-04-01,1172486.567,26495712.85
North Gila Valley I.D.D.,4,2012,Consumptive Use,1235,0.614122327200398,0.614122327200398,0.5,0.614122327200398,0.614122327200398,2012-04-01,1905787.703,26266424.52
Palo Verde Irrigation District,4,2012,Consumptive Use,33156,0.494592538448916,0.494592538448916,0.5,0.494592538448916,0.494592538448916,2012-04-01,699103.7691,26197040.05
Robert B. Griffith Water Project,4,2012,Consumptive Use,NA,NA,0.1,0.5,NA,0.5,2012-04-01,699103.7691,26919087.4
Unit 'B' I.D.D.,4,2012,Consumptive Use,1696,0.545337620578778,0.545337620578778,0.5,0.545337620578778,0.545337620578778,2012-04-01,1905787.703,26127655.58
Wellton-Mohawk I.D.D.,4,2012,Consumptive Use,NA,NA,0.605156410294168,0.5,NA,0.605156410294168,2012-04-01,1905787.703,25988886.65
Yuma County WUA,4,2012,Consumptive Use,NA,NA,0.501946159309623,0.5,NA,0.501946159309623,2012-04-01,1905787.703,25572579.84
Yuma Irrigation District,4,2012,Consumptive Use,4324,0.78475499092559,0.78475499092559,0.5,0.78475499092559,0.78475499092559,2012-04-01,1905787.703,25711348.78
Yuma Mesa I.D.D.,4,2012,Consumptive Use,11298,0.635147290308073,0.635147290308073,0.5,0.635147290308073,0.635147290308073,2012-04-01,1905787.703,25850117.71
